D0001,S393,226,245,4,E2927
D0001,B5403,380,391,96,F0007
D0001,B2822,397,424,4,E2927
D0001,B3889,375,391,77,F0005
D0001,S377,496,507,2,E2874
D0001,B7888,304,316,2,E2943
D0001,S392,52,78,1,E2926
D0001,B7888,214,234,1,E2926
D0001,S397,649,672,2,E2943
D0002,S371,421,437,1,E2825
D0002,S398,543,566,1,E2946
D0002,B2822,515,534,89,F0004
D0002,B0008,270,287,90,F0001
D0002,B8063,488,511,52,F0011
D0002,S445,422,452,1,E3248
D0002,B7888,362,382,69,F0009
D0002,B6721,250,264,78,F0008
D0002,B0008,324,343,1,E2825
D0002,S387,570,576,2,E2920
D0002,B5403,280,302,1,E3248
D0002,S383,283,300,6,E2904
D0002,B0008,572,580,1,E2946
D0002,B0753,640,645,93,F0003
D0002,B8015,500,519,57,F0010
D0002,B0402,688,706,19,F0002
D0003,B0008,307,314,2,E2920
D0003,B7888,295,324,6,E2904
D0003,B4505,449,474,8,F0006
D0003,B0008,29,45,2,E2874
D0004,B9186,60,83,3,E2797
D0004,B5038,717,720,70,F0046
D0005,B5529,622,636,37,F0048
D0005,B4782,421,431,73,F0042
D0005,B0531,281,294,18,F0014
D0005,B7770,695,720,84,F0069
D0006,S323,636,659,10,E2547
D0007,S335,542,566,2,E2652
D0007,B8562,375,380,50,F0073
D0007,S336,679,692,4,E2655
D0008,S377,115,127,2,E2873
D0008,S323,638,658,7,E2542
D0009,B3215,538,550,2,E2638
D0009,B9057,479,491,77,F0075
D0009,B1017,286,314,72,F0019
D0009,B0723,388,408,33,F0016
D0009,S335,363,380,5,E2636
D0009,B6067,640,657,55,F0054
D0010,B5820,373,381,2,E2873
D0010,S323,460,480,10,E2541
D0010,B6877,716,720,2,E2567
D0011,S335,331,358,2,E2638
D0011,B7707,198,225,62,F0066
D0011,B8440,244,258,49,F0072
D0011,B2652,521,526,72,F0029
D0011,B7707,281,296,1,E3254
D0011,S335,249,265,3,E2644
D0011,B2336,151,169,43,F0028
D0011,B5825,591,618,2,E2659
D0011,B5004,670,689,72,F0045
D0012,B7436,0,22,82,F0062
D0012,B9186,98,128,80,F0077
D0012,B6532,687,699,42,F0056
D0013,B5860,324,349,4,E2641
D0013,B3468,386,407,39,F0035
D0013,S445,325,351,1,E3254
D0013,S335,235,241,1,E2637
D0013,B8373,131,151,40,F0071
D0013,B6877,217,236,92,F0059
D0013,B2999,525,541,15,F0032
D0013,S335,312,326,2,E2635
D0013,S336,432,448,1,E2657
D0013,B1550,470,477,80,F0022
D0013,B4714,313,320,20,F0041
D0013,S335,196,206,3,E2650
D0013,S312,41,56,2,E2482
D0013,B3369,120,143,50,F0034
D0013,B4835,96,111,66,F0044
D0013,B2955,167,196,2,E2635
D0013,B6932,39,50,53,F0061
D0013,B3468,29,49,4,E2639
D0013,B5926,107,113,26,F0052
D0013,S335,15,26,1,E2645
D0013,B2195,583,599,4,E2655
D0013,B2828,332,338,75,F0030
D0013,B7554,166,177,3,E2644
D0013,B7600,375,397,1,E2484
D0013,S336,102,113,1,E2654
D0013,B7811,4,25,74,F0070
D0013,B2955,486,498,86,F0031
D0013,S336,208,234,2,E2661
D0013,B7729,593,615,74,F0068
D0013,B0420,544,555,36,F0013
D0013,S335,189,194,3,E2651
D0013,S356,477,482,2,E2771
D0013,B6709,386,414,54,F0058
D0013,B2004,171,191,56,F0024
D0013,B3474,479,488,85,F0036
D0013,B4783,436,444,73,F0043
D0013,B1848,335,340,86,F0023
D0013,S335,624,652,3,E2642
D0013,S335,410,423,5,E2653
D0013,B9213,489,504,88,F0078
D0013,S335,270,291,3,E2646
D0013,S335,64,75,4,E2641
D0013,B7714,256,277,1,E2827
D0013,B7707,321,326,3,E2651
D0013,B2195,499,519,62,F0026
D0013,B9186,475,486,1,E2662
D0013,B7707,234,258,2,E2771
D0013,B5204,187,206,31,F0047
D0013,S371,310,338,1,E2827
